,locator_domain,page_url,location_name,street_address,city,state,zip,store_number,phone,latitude,longitude,hours_of_operation,country_code,location_type
0,rackroomshoes.com,https://www.rackroomshoes.com/store-finder?q=33122&page=0,MALL OF THE AMERICAS,7795 W FLAGLER ST STE 25A,MIAMI,FL,33144,320,3052672420,25.7725278,-80.3229708,"Sun 12:00 PM - 7:00 PM, Mon 10:00 AM - 9:00 PM, Tue 10:00 AM - 9:00 PM, Wed 10:00 AM - 9:00 PM, Thu 10:00 AM - 9:00 PM, Fri 10:00 AM - 9:00 PM, Sat 10:00 AM - 9:00 PM",US,<MISSING>
1,rackroomshoes.com,https://www.rackroomshoes.com/store-finder?q=33122&page=0,COLONIAL PALMS PLAZA,13609 SOUTH DIXIE HIGHWAY,MIAMI,FL,33176,305,3052569749,25.6434694,-80.3330171,"Sun 11:00 AM - 6:00 PM, Mon 10:00 AM - 9:00 PM, Tue 10:00 AM - 9:00 PM, Wed 10:00 AM - 9:00 PM, Thu 10:00 AM - 9:00 PM, Fri 10:00 AM - 9:00 PM, Sat 10:00 AM - 9:00 PM",US,<MISSING>
2,rackroomshoes.com,https://www.rackroomshoes.com/store-finder?q=33122&page=0,PEMBROKE CROSSING,11860 PINES BLVD BLDG E-2,PEMBROKE PINES,FL,33026,278,9544332154,26.006179,-80.3082096,"Sun 11:00 AM - 6:00 PM, Mon 10:00 AM - 9:00 PM, Tue 10:00 AM - 9:00 PM, Wed 10:00 AM - 9:00 PM, Thu 10:00 AM - 9:00 PM, Fri 10:00 AM - 9:00 PM, Sat 10:00 AM - 9:00 PM",US,<MISSING>
3,rackroomshoes.com,https://www.rackroomshoes.com/store-finder?q=33122&page=0,WESTFIELD BROWARD MALL,8000 W BROWARD BLVD,PLANTATION,FL,33388,729,9544724104,26.1178886,-80.2547834,"Sun 11:00 AM - 6:00 PM, Mon 10:00 AM - 9:00 PM, Tue 10:00 AM - 9:00 PM, Wed 10:00 AM - 9:00 PM, Thu 10:00 AM - 9:00 PM, Fri 10:00 AM - 9:00 PM, Sat 10:00 AM - 9:00 PM",US,<MISSING>
4,rackroomshoes.com,https://www.rackroomshoes.com/store-finder?q=33122&page=0,HOMESTEAD PAVILION,2465 NE 10 COURT,HOMESTEAD,FL,33033,608,3052457724,25.4803312,-80.4428655,"Sun 11:00 AM - 6:00 PM, Mon 10:00 AM - 9:00 PM, Tue 10:00 AM - 9:00 PM, Wed 10:00 AM - 9:00 PM, Thu 10:00 AM - 9:00 PM, Fri 10:00 AM - 9:00 PM, Sat 10:00 AM - 9:00 PM",US,<MISSING>
5,rackroomshoes.com,https://www.rackroomshoes.com/store-finder?q=33122&page=1,SAWGRASS MILLS,12801 W. SUNRISE BLVD. SUITE 293,SUNRISE,FL,33323,126,9548469253,26.1493412,-80.3242048,"Sun 11:00 AM - 8:00 PM, Mon 10:00 AM - 9:30 PM, Tue 10:00 AM - 9:30 PM, Wed 10:00 AM - 9:30 PM, Thu 10:00 AM - 9:30 PM, Fri 10:00 AM - 9:30 PM, Sat 10:00 AM - 9:30 PM",US,<MISSING>
6,rackroomshoes.com,https://www.rackroomshoes.com/store-finder?q=33122&page=1,SAWGRASS MILLS,2604 SAWGRASS MILLS CIRCLE STE 1115,SUNRISE,FL,33323,3025,9548388428,26.1534952,-80.321093,"Sun 11:00 AM - 8:00 PM, Mon 10:00 AM - 10:00 PM, Tue 10:00 AM - 10:00 PM, Wed 10:00 AM - 10:00 PM, Thu 10:00 AM - 10:00 PM, Fri 10:00 AM - 10:00 PM, Sat 10:00 AM - 10:00 PM",US,<MISSING>
7,rackroomshoes.com,https://www.rackroomshoes.com/store-finder?q=33122&page=1,FLORIDA KEYS OUTLET MARKETPLACE,250 EAST PALM DR. SUITE 415,FLORIDA CITY,FL,33034,182,3052452446,25.4523831,-80.472412,"Sun 11:00 AM - 6:00 PM, Mon 10:00 AM - 7:00 PM, Tue 10:00 AM - 7:00 PM, Wed 10:00 AM - 7:00 PM, Thu 10:00 AM - 7:00 PM, Fri 10:00 AM - 9:00 PM, Sat 10:00 AM - 9:00 PM",US,<MISSING>
8,rackroomshoes.com,https://www.rackroomshoes.com/store-finder?q=33122&page=1,LAKEWOOD SHOPPING CENTER,5317 W ATLANTIC BLVD,MARGATE,FL,33063,372,9549175856,26.2366757,-80.1983816,"Sun 12:00 PM - 6:00 PM, Mon 10:00 AM - 9:00 PM, Tue 10:00 AM - 9:00 PM, Wed 10:00 AM - 9:00 PM, Thu 10:00 AM - 9:00 PM, Fri 10:00 AM - 9:00 PM, Sat 10:00 AM - 9:00 PM",US,<MISSING>
9,rackroomshoes.com,https://www.rackroomshoes.com/store-finder?q=33122&page=1,POMPANO CITI CENTRE,2201 N. FEDERAL HWY STE. C-102,POMPANO BEACH,FL,33062,467,9549464906,26.2572289,-80.1023826,"Sun 12:00 PM - 6:00 PM, Mon 10:00 AM - 9:00 PM, Tue 10:00 AM - 9:00 PM, Wed 10:00 AM - 9:00 PM, Thu 10:00 AM - 9:00 PM, Fri 10:00 AM - 9:00 PM, Sat 10:00 AM - 9:00 PM",US,<MISSING>
